scope,year,n_grids,best_distance_km_mean,best_distance_km_median,best_distance_km_p85,best_distance_km_max
year,2025,7765853,137.3177144547406,159.045360768642,239.887241870018,249.9999447070692
year,2030,4926796,150.7563035875078,171.40924338187108,239.17010514891183,249.9999447070692
year,2035,6618484,153.4604864008725,178.00858514141723,238.2456673504823,249.99997923244217
year,2040,5725313,151.01574811616214,176.69067955514026,239.01158972116792,249.99996185342567
year,2045,5558770,149.75942176556,174.3987922176523,237.8613006026237,249.99996185342567
year,2050,5530092,149.84116576919578,174.5069863102762,237.5442094376908,249.99996185342567
all_years_pooled,,36125308,148.11047565408816,172.465,,249.99997923244217
