scenario,year,province,cum_stored_mt,cum_stored_gt
DSA,2025,Beijing,2785.88,2.78588
DSA,2025,Chongqing,52.696761,0.052696761
DSA,2025,Fujian,177.16866489,0.17716866489
DSA,2025,Gansu,96.65165762,0.09665165762
DSA,2025,Hainan,963.445,0.963445
DSA,2025,Hebei,0.311666,0.000311666
DSA,2025,Henan,8588.189999999999,8.588189999999999
DSA,2025,Hubei,53.00507423,0.05300507423
DSA,2025,Inner Mongolia,1971.05,1.97105
DSA,2025,Jiangsu,3148.21,3.14821
DSA,2025,Ningxia,20.71804889,0.02071804889
DSA,2025,Qinghai,1320.22,1.32022
DSA,2025,Shaanxi,100.14754368,0.10014754367999999
DSA,2025,Shanxi,40.70689143,0.040706891429999996
DSA,2025,Sichuan,36.797013,0.036797012999999996
DSA,2025,Tianjin,4269.97,4.26997
DSA,2025,Xinjiang,3630.85,3.6308499999999997
DSA,2025,Zhejiang,1905.87128355,1.90587128355
DSA,2030,Beijing,2785.88,2.78588
DSA,2030,Chongqing,105.393522,0.105393522
DSA,2030,Fujian,177.16866489,0.17716866489
DSA,2030,Gansu,193.30331524,0.19330331524
DSA,2030,Hainan,963.445,0.963445
DSA,2030,Hebei,0.623332,0.000623332
DSA,2030,Henan,14902.499257009998,14.902499257009998
DSA,2030,Hubei,106.01014846,0.10601014846
DSA,2030,Inner Mongolia,1971.05,1.97105
DSA,2030,Jiangsu,4101.00429953,4.1010042995300005
DSA,2030,Ningxia,41.43609778,0.04143609778
DSA,2030,Qinghai,1320.22,1.32022
DSA,2030,Shaanxi,125.02140568,0.12502140568
DSA,2030,Shanxi,71.0391033,0.07103910329999999
DSA,2030,Sichuan,73.594026,0.07359402599999999
DSA,2030,Tianjin,4269.97,4.26997
DSA,2030,Xinjiang,6637.236,6.637236
DSA,2030,Zhejiang,3741.4049930700003,3.74140499307
DSA,2035,Beijing,2785.88,2.78588
DSA,2035,Chongqing,158.090283,0.158090283
DSA,2035,Fujian,177.16866489,0.17716866489
DSA,2035,Gansu,289.95497286,0.28995497286
DSA,2035,Hainan,963.445,0.963445
DSA,2035,Hebei,0.934998,0.000934998
DSA,2035,Henan,14925.902352849998,14.925902352849999
DSA,2035,Hubei,159.01522269,0.15901522269
DSA,2035,Inner Mongolia,1971.05,1.97105
DSA,2035,Jiangsu,4469.94419028,4.46994419028
DSA,2035,Ningxia,62.154146669999996,0.06215414666999999
DSA,2035,Qinghai,1320.22,1.32022
DSA,2035,Shaanxi,149.53479268,0.14953479268
DSA,2035,Shanxi,101.37131517,0.10137131517
DSA,2035,Sichuan,110.391039,0.11039103900000001
DSA,2035,Tianjin,4269.97,4.26997
DSA,2035,Xinjiang,9156.987000000001,9.156987
DSA,2035,Zhejiang,3741.4049930700003,3.74140499307
DSA,2040,Beijing,2785.88,2.78588
DSA,2040,Chongqing,210.787044,0.210787044
DSA,2040,Fujian,177.16866489,0.17716866489
DSA,2040,Gansu,386.60663048,0.38660663048
DSA,2040,Hainan,963.445,0.963445
DSA,2040,Hebei,1.246664,0.001246664
DSA,2040,Henan,14936.981465589999,14.93698146559
DSA,2040,Hubei,212.02029692,0.21202029692
DSA,2040,Inner Mongolia,1971.05,1.97105
DSA,2040,Jiangsu,4744.79805995,4.74479805995
DSA,2040,Ningxia,82.87219556,0.08287219556
DSA,2040,Qinghai,1320.22,1.32022
DSA,2040,Shaanxi,174.04817968,0.17404817968
DSA,2040,Shanxi,131.70352704,0.13170352704000002
DSA,2040,Sichuan,147.188052,0.14718805199999999
DSA,2040,Tianjin,4269.97,4.26997
DSA,2040,Xinjiang,10753.665,10.753665000000002
DSA,2040,Zhejiang,3741.4049930700003,3.74140499307
DSA,2045,Beijing,2785.88,2.78588
DSA,2045,Chongqing,263.483805,0.263483805
DSA,2045,Fujian,177.16866489,0.17716866489
DSA,2045,Gansu,467.20652714,0.46720652714
DSA,2045,Hainan,963.445,0.963445
DSA,2045,Hebei,1.55833,0.00155833
DSA,2045,Henan,14948.06057833,14.948060578329999
DSA,2045,Hubei,265.02537115,0.26502537115
DSA,2045,Inner Mongolia,1971.05,1.97105
DSA,2045,Jiangsu,4977.98541046,4.97798541046
DSA,2045,Ningxia,103.43118944999999,0.10343118944999999
DSA,2045,Qinghai,1320.22,1.32022
DSA,2045,Shaanxi,197.06907472,0.19706907472000001
DSA,2045,Shanxi,162.03573891000002,0.16203573891000003
DSA,2045,Sichuan,183.985065,0.183985065
DSA,2045,Tianjin,4269.97,4.26997
DSA,2045,Xinjiang,11536.768900000001,11.5367689
DSA,2045,Zhejiang,3741.4049930700003,3.74140499307
DSA,2050,Beijing,2785.88,2.78588
DSA,2050,Chongqing,316.180566,0.316180566
DSA,2050,Fujian,177.16866489,0.17716866489
DSA,2050,Gansu,494.97545027999996,0.49497545027999995
DSA,2050,Hainan,963.445,0.963445
DSA,2050,Hebei,1.869996,0.001869996
DSA,2050,Henan,14959.13969107,14.95913969107
DSA,2050,Hubei,318.03044538,0.31803044538
DSA,2050,Inner Mongolia,1971.05,1.97105
DSA,2050,Jiangsu,5211.17276097,5.21117276097
DSA,2050,Ningxia,104.67507846,0.10467507846
DSA,2050,Qinghai,1320.22,1.32022
DSA,2050,Shaanxi,203.55217972,0.20355217972
DSA,2050,Shanxi,192.36795078000003,0.19236795078000002
DSA,2050,Sichuan,220.78207799999998,0.220782078
DSA,2050,Tianjin,4269.97,4.26997
DSA,2050,Xinjiang,11536.768900000001,11.5367689
DSA,2050,Zhejiang,3741.4049930700003,3.74140499307
