panel,year,n_grids,max_ss_min,max_ss_p25,max_ss_median,max_ss_p75,max_ss_p85_threshold,max_ss_p95,max_ss_max,best_distance_km_min,best_distance_km_median,best_distance_km_mean,best_distance_km_p85,best_distance_km_max,n_top15pct_ss,pct_top15pct_ss,n_distance_ge_25km,pct_distance_ge_25km
(a),2025,7765853,6149.249967997462,16922861020.522778,135929434927.3128,942297031824.526,4521016208451.563,105186882133631.72,2.937084062713056e+19,0.0065558048667334,159.045360768642,137.3177144547406,239.887241870018,249.9999447070692,1164878,15.0,6140067,79.06
(b),2030,4926796,5466.555341991734,2509527206.095258,14403131924.051384,73153756984.69342,142452610440.03934,1681088176133.036,2.357590171937561e+18,0.0074864279369919,171.40924338187108,150.7563035875078,239.17010514891183,249.9999447070692,739023,15.0,4209119,85.43
(c),2035,6618484,4644.636444849735,246066125.32910097,5041881893.876263,18380571889.981167,37195265583.11873,255675952910.1024,2.0504093340999437e+18,0.0074864279369919,178.00858514141723,153.4604864008725,238.2456673504823,249.99997923244217,992778,15.0,5700919,86.14
(d),2040,5725313,2827.0303289085573,200919875.48780555,1724822145.860565,9549400212.019407,21261508535.33387,221168060046.96072,1.7432284962623258e+18,0.0074864279369919,176.69067955514026,151.01574811616214,239.01158972116792,249.99996185342567,858797,15.0,4843176,84.59
(e),2045,5558770,3296.322496861121,152905689.8356057,1312992717.777398,8697120032.27019,19585821368.050198,192750833897.58987,1.436047658424708e+18,0.0074864279369919,174.3987922176523,149.75942176556,237.86130060262371,249.99996185342567,833816,15.0,4692256,84.41
(f),2050,5530092,2638.0219441420345,149616998.86153254,1037005725.0096412,7837881376.307233,17739289098.050068,155495451001.8429,1.12886682058709e+18,0.0074864279369919,174.5069863102762,149.84116576919578,237.5442094376908,249.99996185342567,829523,15.0,4678799,84.61
