lat,lon,storage_type,storage_potential,pga_score,fault_score,site_vulnerability,srf_a_tectonic,risk_category_a,srf_b_geotechnical,risk_category_b,srf_c_shaking,risk_category_c
49.01794267,125.4920997,DSA,15.97159958,0.767011057328048,4.191725969134368,10.0,4.3259663017655985,Moderate,5.1451496167580935,Moderate,2.7177244251371393,Low
49.00901204,125.5585363,DSA,15.97159958,0.7525567997061691,3.987840547223176,10.0,4.219687313523439,Moderate,5.098590829327103,Moderate,2.647886243990654,Low
49.00005109,125.6249543,DSA,15.97159958,0.7421454473442617,3.803544955532439,10.0,4.124416111969499,Moderate,5.057567170044193,Moderate,2.5863507550662885,Low
48.99105982,125.6913536,DSA,15.97159958,0.7407549583362915,3.639124321694152,8.967985802853937,3.8353858089187507,Moderate,4.611321168814921,Moderate,2.432988851795414,Low
48.98203824,125.7577342,DSA,15.97159958,0.7324192706162138,3.491916497150225,9.571264306905844,3.8799368911411456,Moderate,4.819856730438868,Moderate,2.4441529422053803,Low
48.97298636,125.8240959,DSA,15.97159958,0.7282621577875827,4.755985587339165,9.897699004170644,4.576011241839986,Moderate,5.201581582251124,Moderate,2.8535228712913634,Low
48.96390419,125.8904388,DSA,15.97159958,0.7267914656131145,1.9798305111119576,10.0,3.2079526952399133,Moderate,4.686682688467638,Moderate,2.030024032701456,Low
48.95479173,125.9567627,DSA,15.97159958,0.7337172230873074,1.987315473929834,10.0,3.213772903891109,Moderate,4.6909499840208895,Moderate,2.0364249760313347,Low
48.945649,126.0230676,DSA,15.97159958,0.7535498967761801,1.994824775925161,10.0,3.2234773569954345,Moderate,4.700384913895505,Moderate,2.050577370843256,Low
48.936476,126.0893536,DSA,15.97159958,0.7556007549383893,2.002354294850547,10.0,3.22785737390679,Moderate,4.702711160945465,Moderate,2.0540667414181977,Low
48.99199618,125.3457123,DSA,15.97159958,0.8182902459750517,4.604897776596123,10.0,4.547935962090577,Moderate,5.248295653709246,Moderate,2.872443480563868,Low
48.98313058,125.4121424,DSA,15.97159958,0.8005847315212828,4.344849835397109,9.460703786877437,4.304741094530427,Moderate,4.973485374438909,Moderate,2.729876168219646,Low
48.97423465,125.4785539,DSA,15.97159958,0.784409208022464,4.091130716894024,9.775783420942936,4.236044805042338,Moderate,5.0423031949649655,Moderate,2.6755630819759793,Low
