Long,Lat,Vs30
109.3928577,18.29357857,632.8421387
109.4368231,18.29121594,633.3983217
109.4807858,18.28882984,595.9915681
109.5247457,18.2864203,519.0741987
109.5687027,18.28398729,466.365186
109.6126568,18.28153084,428.329953
109.6566081,18.27905095,419.9239528
109.2193328,18.34480745,696.9164436
109.2633337,18.3425367,723.6237661
109.3073319,18.34024247,750.3310885
109.3513274,18.33792474,743.1604627
109.3953201,18.33558353,731.7077799
109.4393101,18.33321883,691.0186382
109.4832973,18.33083065,632.6089422
109.5272817,18.328419,553.7263875
109.5712633,18.32598387,461.0543106
109.615242,18.32352527,407.399898
109.6592177,18.32104321,345.7404716
109.7031906,18.31853768,354.2788032
109.0896076,18.39351065,621.5026091
109.1336409,18.39130849,681.4554175
109.1776716,18.3890828,706.3170865
109.2216998,18.38683359,725.5093451
109.2657252,18.38456087,750.5445985
109.309748,18.38226463,701.4516833
109.353768,18.37994487,734.2992338
109.3977854,18.37760161,729.3422888
109.4417999,18.37523485,678.5010146
109.4858117,18.37284458,626.8614926
109.5298206,18.37043082,583.1514356
109.5738267,18.36799356,490.9925485
109.61783,18.36553281,409.4028607
109.6618303,18.36304858,344.8773731
109.7058277,18.36054086,283.8889579
109.7498222,18.35800966,288.6336536
109.7938136,18.35545499,338.4033898
108.9156459,18.44413659,435.5910791
108.959714,18.44202671,521.4863649
109.0037796,18.43989328,607.3816508
109.0478427,18.43773629,659.707053
109.0919033,18.43555575,702.4078177
109.1359612,18.43335166,725.0381903
109.1800166,18.43112403,730.5890633
109.2240693,18.42887286,734.8866752
109.2681194,18.42659814,659.2467203
109.3121668,18.42429989,617.4749725
109.3562114,18.42197811,675.4254327
109.4002533,18.4196328,699.0352099
109.4442925,18.41726397,648.9012948
109.4883289,18.41487161,604.2155115
109.5323624,18.41245574,565.9406195
109.5763931,18.41001635,516.795955
109.6204209,18.40755345,436.8265278
109.6644458,18.40506704,371.5160008
109.7084678,18.40255713,312.0805696
109.7524868,18.40002372,284.5549459
109.7965028,18.39746682,314.5702696
109.8405158,18.39488642,286.1884745
109.8845258,18.39228253,322.5279764
108.8296526,18.49035499,416.0355852
108.8737503,18.48829044,430.7809242
108.9178455,18.4862023,463.1177987
108.9619383,18.48409058,531.7734493
109.0060286,18.48195528,620.3582116
109.0501163,18.47979641,666.6699542
109.0942015,18.47761396,661.9283139
109.1382841,18.47540795,665.8976072
109.1823642,18.47317836,690.1265318
109.2264415,18.47092522,728.7497149
109.2705162,18.46864852,645.4161456
109.3145883,18.46634826,603.2162052
109.3586576,18.46402445,653.2922503
109.4027241,18.46167709,678.5092857
109.4467879,18.45930618,635.4405901
109.4908489,18.45691174,589.1430803
109.534907,18.45449375,549.7448922
109.5789623,18.45205223,512.4121682
109.6230147,18.44958718,462.8280408
109.6670642,18.4470986,397.2152737
109.7111108,18.44458649,340.2721814
109.7551544,18.44205087,312.7465576
109.799195,18.43949173,291.014278
109.8432326,18.43690908,324.7724399
109.8872671,18.43430291,344.8266588
109.9312986,18.43167324,304.4401867
108.6994237,18.53849486,410.3821918
108.7435533,18.53649933,419.3247449
108.7876805,18.53448019,428.2672979
108.8318053,18.53243744,443.8479596
108.8759277,18.53037108,468.7268726
108.9200476,18.52828112,502.0339308
108.9641651,18.52616755,546.4346256
109.0082801,18.52403038,614.0471494
109.0523925,18.52186962,604.3763575
109.0965024,18.51968527,565.4029689
109.1406097,18.51747732,588.0255159
109.1847144,18.51524579,658.8488147
109.2288164,18.51299068,695.0616841
109.2729158,18.51071199,696.1592802
109.3170125,18.50840972,661.2705988
109.3611064,18.50608387,683.975559
109.4051976,18.50373446,675.3131974
109.4492861,18.50136148,639.5481668
109.4933717,18.49896494,594.9133858
109.5374545,18.49654484,556.0293904
109.5815344,18.49410119,488.3331012
109.6256115,18.49163398,452.7632879
109.6696856,18.48914323,417.3374661
109.7137568,18.48662893,361.396604
109.757825,18.48409109,331.3023986
109.8018902,18.48152971,304.5698156
109.8459524,18.4789448,298.6964653
109.8900115,18.47633636,332.651727
109.9340676,18.47370439,316.9600178
109.9781205,18.4710489,285.45512
110.0221704,18.4683699,291.9260229
108.5690277,18.58644567,409.6439394
108.6131889,18.58451932,413.6713515
108.6573479,18.58256933,422.6139046
108.7015045,18.5805957,431.5564576
108.7456589,18.57859843,426.2275915
108.7898108,18.57657752,440.1969451
108.8339604,18.57453298,470.6751194
108.8781075,18.57246482,496.3508255
108.9222522,18.57037302,531.4348131
108.9663944,18.56825761,576.6529744
109.0105341,18.56611857,589.1323593
109.0546712,18.56395592,545.6566102
109.0988058,18.56176966,516.0494151
109.1429378,18.55955978,550.5732754
109.1870672,18.5573263,622.3892626
109.231194,18.55506922,656.6740047
109.275318,18.55278853,673.6407414
109.3194394,18.55048425,688.2511526
109.363558,18.54815637,682.4497673
109.4076739,18.54580491,672.1167135
109.451787,18.54342985,636.3520785
109.4958973,18.54103122,600.587048
109.5400048,18.538609,528.8279926
109.5841094,18.53616321,447.7491581
109.6282111,18.53369385,416.9581242
109.6723099,18.53120092,417.3809418
109.7164057,18.52868442,383.5206224
109.7604986,18.52614436,351.3208882
109.8045884,18.52358075,322.6715321
109.8486753,18.52099358,303.4017254
109.892759,18.51838286,305.9078633
109.9368397,18.51574859,287.7243139
109.9809173,18.51309078,267.1401125
