lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category,w1,w2,w3
49.01794267,125.4920997,DSA,15.97159958,4.3259663017655985,10%,200.0,boore,0.767011057328048,4.191725969134368,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
49.00901204,125.5585363,DSA,15.97159958,4.219687313523439,10%,200.0,boore,0.7525567997061691,3.987840547223176,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
49.00005109,125.6249543,DSA,15.97159958,4.124416111969499,10%,200.0,boore,0.7421454473442617,3.803544955532439,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.99105982,125.6913536,DSA,15.97159958,3.8353858089187507,10%,200.0,boore,0.7407549583362915,3.639124321694152,8.967985802853937,weight_sensitivity,Moderate,0.3,0.5,0.2
48.98203824,125.7577342,DSA,15.97159958,3.8799368911411456,10%,200.0,boore,0.7324192706162138,3.491916497150225,9.571264306905844,weight_sensitivity,Moderate,0.3,0.5,0.2
48.97298636,125.8240959,DSA,15.97159958,4.576011241839986,10%,200.0,boore,0.7282621577875827,4.755985587339165,9.897699004170644,weight_sensitivity,Moderate,0.3,0.5,0.2
48.96390419,125.8904388,DSA,15.97159958,3.2079526952399133,10%,200.0,boore,0.7267914656131145,1.9798305111119576,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.95479173,125.9567627,DSA,15.97159958,3.213772903891109,10%,200.0,boore,0.7337172230873074,1.987315473929834,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.945649,126.0230676,DSA,15.97159958,3.2234773569954345,10%,200.0,boore,0.7535498967761801,1.994824775925161,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.936476,126.0893536,DSA,15.97159958,3.22785737390679,10%,200.0,boore,0.7556007549383893,2.002354294850547,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.99199618,125.3457123,DSA,15.97159958,4.547935962090577,10%,200.0,boore,0.8182902459750517,4.604897776596123,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.98313058,125.4121424,DSA,15.97159958,4.304741094530427,10%,200.0,boore,0.8005847315212828,4.344849835397109,9.460703786877437,weight_sensitivity,Moderate,0.3,0.5,0.2
48.97423465,125.4785539,DSA,15.97159958,4.236044805042338,10%,200.0,boore,0.784409208022464,4.091130716894024,9.775783420942936,weight_sensitivity,Moderate,0.3,0.5,0.2
48.9653084,125.544947,DSA,15.97159958,4.166532565464051,10%,200.0,boore,0.7658510040996334,3.873554528468321,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.95635183,125.6113214,DSA,15.97159958,4.072336015988217,10%,200.0,boore,0.7593731577246053,3.68904813734167,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.94736496,125.6776771,DSA,15.97159958,3.780293181587637,10%,200.0,boore,0.7504450402418428,3.5301258032592524,8.950483839427287,weight_sensitivity,Moderate,0.3,0.5,0.2
48.93834778,125.7440141,DSA,15.97159958,3.7239127772255385,10%,200.0,boore,0.7324192706162138,3.39049193674583,9.044705138338797,weight_sensitivity,Moderate,0.3,0.5,0.2
48.92930033,125.8103324,DSA,15.97159958,4.67483397941923,10%,200.0,boore,0.7408760642555244,4.905142320285144,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.92022259,125.8766318,DSA,15.97159958,3.228682379051458,10%,200.0,boore,0.7348719108913506,2.016441611568105,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.91111459,125.9429123,DSA,15.97159958,3.2391361732830104,10%,200.0,boore,0.7570183499979478,2.024061336567252,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.90197632,126.0091739,DSA,15.97159958,3.2410390395704427,10%,200.0,boore,0.7506182676612521,2.031707118544134,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.89280781,126.0754165,DSA,15.97159958,3.2505142666528157,10%,200.0,boore,0.7694262090453543,2.039372807878419,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.88360906,126.14164,DSA,15.97159958,3.2608779618781263,10%,200.0,boore,0.7911592991317467,2.047060344277204,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
