lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category
49.01794267,125.4920997,DSA,15.97159958,3.6914807093813735,10%,300,boore,0.767011057328048,4.359917269057832,10.0,lambda_sensitivity,Moderate
49.00901204,125.5585363,DSA,15.97159958,3.6291159882758093,10%,300,boore,0.7525567997061691,4.176125294742415,10.0,lambda_sensitivity,Moderate
49.00005109,125.6249543,DSA,15.97159958,3.5746353940010693,10%,300,boore,0.7421454473442617,4.011875567763129,10.0,lambda_sensitivity,Moderate
48.99105982,125.6913536,DSA,15.97159958,3.3241181160724915,10%,300,boore,0.7407549583362915,3.867144921111861,8.967985802853937,lambda_sensitivity,Moderate
48.98203824,125.7577342,DSA,15.97159958,3.402192595636597,10%,300,boore,0.7324192706162138,3.739100329824403,9.571264306905844,lambda_sensitivity,Moderate
48.97298636,125.8240959,DSA,15.97159958,3.882089627916273,10%,300,boore,0.7282621577875827,5.128062493961176,9.897699004170644,lambda_sensitivity,Moderate
48.96390419,125.8904388,DSA,15.97159958,3.005373418549991,10%,300,boore,0.7267914656131145,2.1399256191447797,10.0,lambda_sensitivity,Moderate
48.95479173,125.9567627,DSA,15.97159958,3.0104533233935578,10%,300,boore,0.7337172230873074,2.1453157061663473,10.0,lambda_sensitivity,Moderate
48.945649,126.0230676,DSA,15.97159958,3.0219899057653965,10%,300,boore,0.7535498967761801,2.1507165245910222,10.0,lambda_sensitivity,Moderate
48.936476,126.0893536,DSA,15.97159958,3.0246379024688257,10%,300,boore,0.7556007549383893,2.1561250833321037,10.0,lambda_sensitivity,Moderate
48.99199618,125.3457123,DSA,15.97159958,3.8221468710949953,10%,300,boore,0.8182902459750517,4.710005827024898,10.0,lambda_sensitivity,Moderate
48.98313058,125.4121424,DSA,15.97159958,3.6335042712978103,10%,300,boore,0.8005847315212828,4.470237160538939,9.460703786877435,lambda_sensitivity,Moderate
48.97423465,125.4785539,DSA,15.97159958,3.618762938287455,10%,300,boore,0.784409208022464,4.23800550029212,9.775783420942936,lambda_sensitivity,Moderate
48.9653084,125.544947,DSA,15.97159958,3.5955445663361196,10%,300,boore,0.7658510040996334,4.0420635476210105,10.0,lambda_sensitivity,Moderate
48.95635183,125.6113214,DSA,15.97159958,3.543341825281243,10%,300,boore,0.7593731577246053,3.878850821396468,10.0,lambda_sensitivity,Moderate
48.94736496,125.6776771,DSA,15.97159958,3.287514287167506,10%,300,boore,0.7504450402418428,3.7406499972037572,8.950483839427287,lambda_sensitivity,Moderate
48.93834778,125.7440141,DSA,15.97159958,3.261466379959003,10%,300,boore,0.7324192706162138,3.621052389943789,9.044705138338797,lambda_sensitivity,Moderate
48.92930033,125.8103324,DSA,15.97159958,3.947798147807827,10%,300,boore,0.7408760642555244,5.2578670522668824,10.0,lambda_sensitivity,Moderate
48.92022259,125.8766318,DSA,15.97159958,3.017303764593972,10%,300,boore,0.7348719108913506,2.1662260304943235,10.0,lambda_sensitivity,Moderate
48.91111459,125.9429123,DSA,15.97159958,3.0300131008056734,10%,300,boore,0.7570183499979478,2.1716797526889984,10.0,lambda_sensitivity,Moderate
48.90197632,126.0091739,DSA,15.97159958,3.028452708945697,10%,300,boore,0.7506182676612521,2.1771452503835698,10.0,lambda_sensitivity,Moderate
48.89280781,126.0754165,DSA,15.97159958,3.0394985345737244,10%,300,boore,0.7694262090453543,2.182618100170158,10.0,lambda_sensitivity,Moderate
48.88360906,126.14164,DSA,15.97159958,3.052009549142309,10%,300,boore,0.7911592991317467,2.1880996652547853,10.0,lambda_sensitivity,Moderate
48.87438008,126.2078444,DSA,15.97159958,3.061585930180851,10%,300,boore,0.8070177032718734,2.193590261816381,10.0,lambda_sensitivity,Moderate
48.86512088,126.2740297,DSA,15.97159958,3.0824444143120124,10%,300,boore,0.8454341536436332,2.1990911249673197,10.0,lambda_sensitivity,Moderate
48.96590118,125.1994444,DSA,15.97159958,3.730310930379025,10%,300,boore,0.8657000355285605,4.324869708715816,10.0,lambda_sensitivity,Moderate
48.95710058,125.2658676,DSA,15.97159958,3.8959892727649192,10%,300,boore,0.8657000355285605,4.87713085000213,10.0,lambda_sensitivity,Moderate
48.94826965,125.3322724,DSA,15.97159958,3.8027525285599486,10%,300,boore,0.8452161211952205,4.600481559874462,10.0,lambda_sensitivity,Moderate
48.93940839,125.3986588,DSA,15.97159958,3.6923008506653527,10%,300,boore,0.8219559668154139,4.271076224192153,10.0,lambda_sensitivity,Moderate
48.93051681,125.4650268,DSA,15.97159958,3.4909414521859072,10%,300,boore,0.8026855511678993,4.026299559041849,9.408544044447014,lambda_sensitivity,Moderate
48.92159492,125.5313762,DSA,15.97159958,3.544143158707078,10%,300,boore,0.7823993223910886,3.8431449917051137,10.0,lambda_sensitivity,Moderate
48.91264274,125.5977071,DSA,15.97159958,3.485555744602116,10%,300,boore,0.7719275564430981,3.698646374565795,9.949990270054142,lambda_sensitivity,Moderate
48.90366026,125.6640193,DSA,15.97159958,3.3330195801700855,10%,300,boore,0.7504450402418428,3.5789969260446783,9.420489911178803,lambda_sensitivity,Moderate
48.8946475,125.7303129,DSA,15.97159958,3.6622264099471513,10%,300,boore,0.749466088398144,5.184808095949015,8.660254684816872,lambda_sensitivity,Moderate
48.88560446,125.7965877,DSA,15.97159958,3.916792420439199,10%,300,boore,0.7456469295361225,5.398777879236553,9.621677959500857,lambda_sensitivity,Moderate
48.87653117,125.8628437,DSA,15.97159958,3.0298869497699967,10%,300,boore,0.744072342703802,2.192835928060319,10.0,lambda_sensitivity,Moderate
48.86742762,125.9290808,DSA,15.97159958,3.04069069519095,10%,300,boore,0.7623689631456867,2.1983540453936885,10.0,lambda_sensitivity,Moderate
48.85829382,125.9952991,DSA,15.97159958,3.0396063215532036,10%,300,boore,0.7568817051170693,2.2038848966488973,10.0,lambda_sensitivity,Moderate
48.8491298,126.0614984,DSA,15.97159958,3.0599553158735295,10%,300,boore,0.7942569783857789,2.209422755602134,10.0,lambda_sensitivity,Moderate
48.83993554,126.1276787,DSA,15.97159958,3.066337032485589,10%,300,boore,0.8036913997288887,2.21497110873715,10.0,lambda_sensitivity,Moderate
48.83071107,126.1938399,DSA,15.97159958,3.082472637529892,10%,300,boore,0.8326283451641341,2.2205282164927493,10.0,lambda_sensitivity,Moderate
48.8214564,126.2599821,DSA,15.97159958,3.0962628995353527,10%,300,boore,0.8568683568589435,2.226095737019603,10.0,lambda_sensitivity,Moderate
48.81217152,126.326105,DSA,15.97159958,3.114014274336292,10%,300,boore,0.889025690171755,2.231671430834715,10.0,lambda_sensitivity,Moderate
48.93092218,125.1197124,DSA,9.82865143,3.188897525436035,10%,300,boore,0.9157235683752042,2.4367858041614427,10.0,lambda_sensitivity,Moderate
48.92215622,125.1861102,DSA,15.97159958,3.547107234297834,10%,300,boore,0.89550674213805,3.664512877429364,10.0,lambda_sensitivity,Moderate
48.91335993,125.2524897,DSA,15.97159958,3.879578247117712,10%,300,boore,0.8691167155926527,4.816732964404619,10.0,lambda_sensitivity,Moderate
48.90453332,125.3188509,DSA,15.97159958,3.6921845358478675,10%,300,boore,0.8691167155926527,4.192087260171803,10.0,lambda_sensitivity,Moderate
48.8956764,125.3851938,DSA,15.97159958,3.5720335869135895,10%,300,boore,0.8403462387824422,3.8834019122544112,9.934199469230226,lambda_sensitivity,Moderate
48.88678917,125.4515181,DSA,15.97159958,3.4002777092587952,10%,300,boore,0.817261750950211,3.7013898788895823,9.406149350584075,lambda_sensitivity,Moderate
48.87787165,125.5178241,DSA,15.97159958,3.408920885074318,10%,300,boore,0.799473664162542,3.5721550282473817,9.687687722594161,lambda_sensitivity,Moderate
48.86892384,125.5841114,DSA,15.97159958,3.379983507069822,10%,300,boore,0.7869454656590035,3.4695564711323836,9.728219164503024,lambda_sensitivity,Moderate
48.85994576,125.6503802,DSA,15.97159958,3.870576929728946,10%,300,boore,0.7577513965132143,5.013480803674879,9.938284951849376,lambda_sensitivity,Moderate
48.85093741,125.7166303,DSA,15.97159958,3.864856061749941,10%,300,boore,0.7621038956917371,5.331165831061309,9.422271822928398,lambda_sensitivity,Moderate
48.8418988,125.7828618,DSA,15.97159958,3.9172240024920226,10%,300,boore,0.75670171835529,5.552309866535498,9.365900916768641,lambda_sensitivity,Moderate
