lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category
49.01794267,125.4920997,DSA,15.97159958,3.7333004674060883,10%,500,boore,0.767011057328048,4.499316462473549,10.0,lambda_sensitivity,Moderate
49.00901204,125.5585363,DSA,15.97159958,3.6762185664813343,10%,500,boore,0.7525567997061691,4.333133888760833,10.0,lambda_sensitivity,Moderate
49.00005109,125.6249543,DSA,15.97159958,3.62709062681673,10%,500,boore,0.7421454473442617,4.18672634381533,10.0,lambda_sensitivity,Moderate
48.99105982,125.6913536,DSA,15.97159958,3.381916469342853,10%,500,boore,0.7407549583362915,4.059806098679732,8.967985802853937,lambda_sensitivity,Moderate
48.98203824,125.7577342,DSA,15.97159958,3.4652787093423756,10%,500,boore,0.7324192706162138,3.949387375510333,9.571264306905844,lambda_sensitivity,Moderate
48.97298636,125.8240959,DSA,15.97159958,3.9776435463187747,10%,500,boore,0.7282621577875827,5.446575555302849,9.897699004170644,lambda_sensitivity,Moderate
48.96390419,125.8904388,DSA,15.97159958,3.046577811027644,10%,500,boore,0.7267914656131145,2.277273594070288,10.0,lambda_sensitivity,Moderate
48.95479173,125.9567627,DSA,15.97159958,3.051072657772871,10%,500,boore,0.7337172230873074,2.280713487430724,10.0,lambda_sensitivity,Moderate
48.945649,126.0230676,DSA,15.97159958,3.0620219775239756,10%,500,boore,0.7535498967761801,2.284156763786285,10.0,lambda_sensitivity,Moderate
48.936476,126.0893536,DSA,15.97159958,3.0640808306486047,10%,500,boore,0.7556007549383893,2.2876015105980336,10.0,lambda_sensitivity,Moderate
48.99199618,125.3457123,DSA,15.97159958,3.847890229907633,10%,500,boore,0.8182902459750517,4.795817023067023,10.0,lambda_sensitivity,Moderate
48.98313058,125.4121424,DSA,15.97159958,3.6643773415122656,10%,500,boore,0.8005847315212828,4.573147394587124,9.460703786877435,lambda_sensitivity,Moderate
48.97423465,125.4785539,DSA,15.97159958,3.6551491398220395,10%,500,boore,0.784409208022464,4.359292838740735,9.775783420942936,lambda_sensitivity,Moderate
48.9653084,125.544947,DSA,15.97159958,3.637565596673316,10%,500,boore,0.7658510040996334,4.1821336487449985,10.0,lambda_sensitivity,Moderate
48.95635183,125.6113214,DSA,15.97159958,3.5909966716786004,10%,500,boore,0.7593731577246053,4.037700309387659,10.0,lambda_sensitivity,Moderate
48.94736496,125.6776771,DSA,15.97159958,3.3407413620385906,10%,500,boore,0.7504450402418428,3.9180735801073716,8.950483839427287,lambda_sensitivity,Moderate
48.93834778,125.7440141,DSA,15.97159958,3.320172414730224,10%,500,boore,0.7324192706162138,3.816739172514525,9.044705138338797,lambda_sensitivity,Moderate
48.92930033,125.8103324,DSA,15.97159958,4.03790502356099,10%,500,boore,0.7408760642555244,5.558223304777426,10.0,lambda_sensitivity,Moderate
48.92022259,125.8766318,DSA,15.97159958,3.055643644229953,10%,500,boore,0.7348719108913506,2.2940256292809247,10.0,lambda_sensitivity,Moderate
48.91111459,125.9429123,DSA,15.97159958,3.06775592596101,10%,500,boore,0.7570183499979478,2.297489169873454,10.0,lambda_sensitivity,Moderate
48.90197632,126.0091739,DSA,15.97159958,3.065596143868474,10%,500,boore,0.7506182676612521,2.3009567001261595,10.0,lambda_sensitivity,Moderate
48.89280781,126.0754165,DSA,15.97159958,3.0760407268065912,10%,500,boore,0.7694262090453543,2.3044254076130475,10.0,lambda_sensitivity,Moderate
48.88360906,126.14164,DSA,15.97159958,3.0879484955389356,10%,500,boore,0.7911592991317467,2.307896153243541,10.0,lambda_sensitivity,Moderate
48.87438008,126.2078444,DSA,15.97159958,3.0969195913948138,10%,500,boore,0.8070177032718734,2.31136913252959,10.0,lambda_sensitivity,Moderate
48.86512088,126.2740297,DSA,15.97159958,3.1171706129962584,10%,500,boore,0.8454341536436332,2.314845120581473,10.0,lambda_sensitivity,Moderate
48.96590118,125.1994444,DSA,15.97159958,3.742439419519213,10%,500,boore,0.8657000355285605,4.365298005849777,10.0,lambda_sensitivity,Moderate
48.95710058,125.2658676,DSA,15.97159958,3.910623412262987,10%,500,boore,0.8657000355285605,4.925911314995689,10.0,lambda_sensitivity,Moderate
48.94826965,125.3322724,DSA,15.97159958,3.822292827917335,10%,500,boore,0.8452161211952205,4.66561589106575,10.0,lambda_sensitivity,Moderate
48.93940839,125.3986588,DSA,15.97159958,3.717603222551922,10%,500,boore,0.8219559668154139,4.35541746381405,10.0,lambda_sensitivity,Moderate
48.93051681,125.4650268,DSA,15.97159958,3.5222111695860905,10%,500,boore,0.8026855511678993,4.130531950375793,9.408544044447014,lambda_sensitivity,Moderate
48.92159492,125.5313762,DSA,15.97159958,3.5813764888104527,10%,500,boore,0.7823993223910886,3.967256092049695,10.0,lambda_sensitivity,Moderate
48.91264274,125.5977071,DSA,15.97159958,3.528672112847656,10%,500,boore,0.7719275564430981,3.8423676020509268,9.949990270054142,lambda_sensitivity,Moderate
48.90366026,125.6640193,DSA,15.97159958,3.381905945947846,10%,500,boore,0.7504450402418428,3.741951478637212,9.420489911178803,lambda_sensitivity,Moderate
48.8946475,125.7303129,DSA,15.97159958,3.738436824342139,10%,500,boore,0.749466088398144,5.438842810598976,8.660254684816872,lambda_sensitivity,Moderate
48.88560446,125.7965877,DSA,15.97159958,4.001396244073614,10%,500,boore,0.7456469295361225,5.6807906246846045,9.621677959500857,lambda_sensitivity,Moderate
48.87653117,125.8628437,DSA,15.97159958,3.0653038308509015,10%,500,boore,0.744072342703802,2.3108921983300017,10.0,lambda_sensitivity,Moderate
48.86742762,125.9290808,DSA,15.97159958,3.0754983504559466,10%,500,boore,0.7623689631456867,2.314379562943678,10.0,lambda_sensitivity,Moderate
48.85829382,125.9952991,DSA,15.97159958,3.0738022915681658,10%,500,boore,0.7568817051170693,2.317871463365438,10.0,lambda_sensitivity,Moderate
48.8491298,126.0614984,DSA,15.97159958,3.09353777256127,10%,500,boore,0.7942569783857789,2.3213642778946024,10.0,lambda_sensitivity,Moderate
48.83993554,126.1276787,DSA,15.97159958,3.099303760228468,10%,500,boore,0.8036913997288887,2.3248602012134123,10.0,lambda_sensitivity,Moderate
48.83071107,126.1938399,DSA,15.97159958,3.1148216119766126,10%,500,boore,0.8326283451641341,2.328358131315152,10.0,lambda_sensitivity,Moderate
48.8214564,126.2599821,DSA,15.97159958,3.127991910255749,10%,500,boore,0.8568683568589435,2.3318591060875913,10.0,lambda_sensitivity,Moderate
48.81217152,126.326105,DSA,15.97159958,3.145121358694116,10%,500,boore,0.889025690171755,2.335361712027461,10.0,lambda_sensitivity,Moderate
48.93092218,125.1197124,DSA,9.82865143,3.196424996551897,10%,500,boore,0.9157235683752042,2.4618773745476497,10.0,lambda_sensitivity,Moderate
48.92215622,125.1861102,DSA,15.97159958,3.552523043104478,10%,500,boore,0.89550674213805,3.682565573451511,10.0,lambda_sensitivity,Moderate
48.91335993,125.2524897,DSA,15.97159958,3.8874240364967703,10%,500,boore,0.8691167155926527,4.842885595668146,10.0,lambda_sensitivity,Moderate
48.90453332,125.3188509,DSA,15.97159958,3.706072370652196,10%,500,boore,0.8691167155926527,4.238380042852898,10.0,lambda_sensitivity,Moderate
48.8956764,125.3851938,DSA,15.97159958,3.5923202214808616,10%,500,boore,0.8403462387824422,3.9510240274786512,9.934199469230226,lambda_sensitivity,Moderate
48.88678917,125.4515181,DSA,15.97159958,3.426905202893165,10%,500,boore,0.817261750950211,3.790148191004147,9.406149350584075,lambda_sensitivity,Moderate
48.87787165,125.5178241,DSA,15.97159958,3.4417620457771507,10%,500,boore,0.799473664162542,3.6816255639234905,9.687687722594161,lambda_sensitivity,Moderate
48.86892384,125.5841114,DSA,15.97159958,3.4188926150944514,10%,500,boore,0.7869454656590035,3.599253497881149,9.728219164503024,lambda_sensitivity,Moderate
48.85994576,125.6503802,DSA,15.97159958,3.9327887504291352,10%,500,boore,0.7577513965132143,5.220853539342175,9.938284951849376,lambda_sensitivity,Moderate
48.85093741,125.7166303,DSA,15.97159958,3.9352142117500897,10%,500,boore,0.7621038956917371,5.565692997728471,9.422271822928398,lambda_sensitivity,Moderate
48.8418988,125.7828618,DSA,15.97159958,3.9962877656035003,10%,500,boore,0.75670171835529,5.815855743573756,9.365900916768641,lambda_sensitivity,Moderate
48.83282994,125.8490744,DSA,15.97159958,3.030869007098217,10%,500,boore,0.7701097123794789,2.3278739961957298,9.737259760248794,lambda_sensitivity,Moderate
48.82373085,125.9152683,DSA,15.97159958,3.0853755562350913,10%,500,boore,0.7719191249836581,2.3313866458108743,10.0,lambda_sensitivity,Moderate
48.81460152,125.9814433,DSA,15.97159958,3.093724022930708,10%,500,boore,0.7865064737353125,2.334902620210172,10.0,lambda_sensitivity,Moderate
48.80544198,126.0475994,DSA,15.97159958,3.1033822248572327,10%,500,boore,0.8037117468034374,2.33842117151838,10.0,lambda_sensitivity,Moderate
48.79625222,126.1137365,DSA,15.97159958,3.1058087828112537,10%,500,boore,0.8064525187516449,2.341941744784771,10.0,lambda_sensitivity,Moderate
48.78703227,126.1798546,DSA,15.97159958,3.1258230610379347,10%,500,boore,0.8443676823449281,2.3454640662182356,10.0,lambda_sensitivity,Moderate
48.77778212,126.2459536,DSA,15.97159958,3.1389950099095367,10%,500,boore,0.8685964754749609,2.3489892405735207,10.0,lambda_sensitivity,Moderate
48.76850179,126.3120334,DSA,15.97159958,3.160754612210697,10%,500,boore,0.9099995335279264,2.352516151489113,10.0,lambda_sensitivity,Moderate
48.75919128,126.3780941,DSA,15.97159958,3.181756270349418,10%,500,boore,0.949682719073955,2.3563830360414686,10.0,lambda_sensitivity,Moderate
48.88716316,125.1064402,DSA,20.78039932,3.12917099004083,10%,500,boore,0.9408729900005225,2.488077518523452,9.561556197417667,lambda_sensitivity,Moderate
48.87840149,125.1727943,DSA,15.97159958,3.1204332973755253,10%,500,boore,0.9174307586212664,2.489994837918135,9.573597333447259,lambda_sensitivity,Moderate
48.86960951,125.2391302,DSA,15.97159958,3.0988821770171344,10%,500,boore,0.8886386109619382,2.7673028630932475,9.121860063040955,lambda_sensitivity,Moderate
48.86078722,125.3054478,DSA,15.97159958,3.2418410076692394,10%,500,boore,0.8606514906765672,3.2623678212716016,9.164024579747377,lambda_sensitivity,Moderate
48.85193464,125.3717471,DSA,15.97159958,3.429639080577998,10%,500,boore,0.8606514906765672,3.331044450799048,10.0,lambda_sensitivity,Moderate
48.84305176,125.438028,DSA,15.97159958,3.301063674609293,10%,500,boore,0.8351731038555475,3.3408241752156806,9.406149350584075,lambda_sensitivity,Moderate
48.83413861,125.5042904,DSA,15.97159958,3.326910203715114,10%,500,boore,0.8157031210174709,3.3315426406172293,9.597979255106049,lambda_sensitivity,Moderate
48.82519518,125.5705344,DSA,15.97159958,3.764343824356195,10%,500,boore,0.7869454656590035,4.837584135018277,9.597979255106049,lambda_sensitivity,Moderate
48.81622149,125.6367597,DSA,15.97159958,3.9911168209496464,10%,500,boore,0.7796768765098637,5.337594608982382,10.0,lambda_sensitivity,Moderate
48.80721755,125.7029665,DSA,15.97159958,4.102179345969611,10%,500,boore,0.7778257943245187,5.710888162691171,10.0,lambda_sensitivity,Moderate
48.79818337,125.7691546,DSA,15.97159958,4.09534630941874,10%,500,boore,0.7748882424737512,5.9647640669497335,9.59236484048472,lambda_sensitivity,Moderate
48.78911896,125.835324,DSA,15.97159958,2.940352539124799,10%,500,boore,0.7842857327531643,2.3449726743719634,9.22358935218314,lambda_sensitivity,Low
48.78002431,125.9014746,DSA,15.97159958,2.8928005993705246,10%,500,boore,0.7695903780984215,2.3485112463560145,9.017260182072548,lambda_sensitivity,Low
48.77089946,125.9676064,DSA,15.97159958,2.961535010403086,10%,500,boore,0.8044982387761146,2.3520515552158194,9.268352122251413,lambda_sensitivity,Low
48.7617444,126.0337193,DSA,15.97159958,3.034548294604161,10%,500,boore,0.8143324911853501,2.355594829255367,9.603518001174379,lambda_sensitivity,Moderate
48.75255914,126.0998133,DSA,15.97159958,3.128102685891224,10%,500,boore,0.8407214723379147,2.3591398324075548,10.0,lambda_sensitivity,Moderate
48.74334369,126.1658883,DSA,15.97159958,3.143411821541801,10%,500,boore,0.8692116214795964,2.3626867026733427,10.0,lambda_sensitivity,Moderate
